年度,管制編號,事業名稱,事業統編,直接排放量(公噸CO2e),能源間接排放量(公噸CO2e),合計排放量(公噸CO2e),縣市別,行業分類,地址,緯度,經度
113,E4900397,台灣恩智浦半導體股份有限公司,89002500,883.0038,"23,397.3984","24,280.402",高雄市,半導體製造業,811台灣高雄市楠梓區經五路10號,22.7185572,120.3034181
113,E4900404,國巨股份有限公司楠梓分公司,70848556,"2,965.7155","41,301.2994","44,267.015",高雄市,被動電子元件製造業,811台灣高雄市楠梓區西三街16號,22.7190128,120.3011607
113,E4900753,楠梓電子股份有限公司,76026851,"2,197.5813","40,086.9585","42,284.54",高雄市,印刷電路板製造業,811台灣高雄市楠梓區開發路37號,22.7209306,120.3041153
113,E4900879,台灣福雷電子股份有限公司,22100242,"1,959.2416","50,696.997","52,656.239",高雄市,半導體製造業,811台灣高雄市楠梓區西五街10號,22.7218015,120.3013893
113,E4901947,華泰電子股份有限公司中三廠,89004161,295.6614,"35,818.3447","36,114.006",高雄市,其他電子零組件製造業,811台灣高雄市楠梓區中三街9號,22.7234709,120.3016867
113,E4905365,日月光半導體製造股份有限公司九廠,76027628,"1,016.8346","30,239.496","31,256.331",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E4906246,日月光半導體製造股份有限公司凸晶二廠,76027628,825.3854,"12,289.8366","13,115.222",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E4906835,日月光半導體製造股份有限公司十一廠,76027628,"3,492.0959","56,178.4238","59,670.52",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E49A1492,華泰電子股份有限公司經三廠,89004161,49.5895,"28,098.6418","28,148.231",高雄市,半導體製造業,811台灣高雄市楠梓區經三路80號,22.7233693,120.3051839
113,E49A5078,日月光半導體製造股份有限公司十二廠,76027628,168.7854,"35,814.8043","35,983.59",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E49A5692,日月光半導體製造股份有限公司二十一廠,76027628,"1,783.3016","37,878.6457","39,661.947",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E49A6412,台灣福雷電子股份有限公司三廠,22100242,49.3034,"43,568.6874","43,617.991",高雄市,半導體製造業,815台灣高雄市大社區三中路385號,22.7302142,120.3426836
113,E49A6630,日月光半導體製造股份有限公司二十二廠,76027628,"2,091.9007","46,517.7684","48,609.669",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E49A7579,日月光半導體製造股份有限公司五廠,76027628,74.0932,"22,764.1044","22,838.198",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E49A9852,日月光半導體製造股份有限公司二十四廠,76027628,138.1756,"39,619.0234","39,757.199",高雄市,半導體製造業,811台灣高雄市楠梓區經三路26號,22.7207233,120.3065475
113,E5400878,台灣電力股份有限公司南部發電廠,3795904,"3,370,116.996",397.5912,"3,370,514.587",高雄市,電力供應業,806台灣高雄市前鎮區成功二路5號,22.601544,120.3019432
113,E5402523,華東科技股份有限公司B10廠,22101116,"2,628.2625","56,919.3025","59,547.565",高雄市,半導體製造業,806台灣高雄市前鎮區北一路18號,22.6059971,120.287926
113,E5408338,華新科技股份有限公司高雄南一廠,19004316,"1,415.6824","23,325.3504","24,741.033",高雄市,被動電子元件製造業,806台灣高雄市前鎮區南一路6號,22.5985608,120.2920028
113,E54A1352,頎邦科技股份有限公司南六廠,16130009,506.3507,"22,610.3688","23,116.72",高雄市,半導體製造業,806台灣高雄市前鎮區南六路5號,22.591249,120.295106
113,E54A4603,頎邦科技股份有限公司南一廠,16130009,226.6111,"22,607.3352","22,833.946",高雄市,印刷電路板製造業,806台灣臺灣省前鎮區南一路11號,22.5979218,120.2912255
113,E54B0143,華新科技股份有限公司高雄東十五廠,19004316,"1,575.9339","32,702.7768","34,278.711",高雄市,被動電子元件製造業,806台灣高雄市前鎮區東十街1號,22.6055356,120.2903861
113,E5600056,台灣中油股份有限公司煉製事業部大林煉油廠,3707901,"2,521,031.8728","568,070.7783","3,089,102.651",高雄市,石油及煤製品製造業,812台灣高雄市小港區沿海四路50號,22.5290654,120.3472505
113,E5600092,中鋼鋁業股份有限公司,96971313,"56,879.7982","92,637.6777","149,517.476",高雄市,鋁製造業,812台灣高雄市小港區東林路17號,22.5421711,120.3737001
113,E5600136,台灣志氯化學股份有限公司?氯廠,22318516,92.3891,"127,803.9904","127,896.38",高雄市,化學原材料製造業,812台灣高雄市小港區中智街25號,22.5326798,120.3628366
113,E5600305,李長榮化學工業股份有限公司高雄廠,39054405,"20,445.932","55,023.5897","75,469.522",高雄市,化學原材料製造業,812台灣高雄市小港區中林路3號,22.5383366,120.3685808
113,E5600332,協勝發鋼鐵廠股份有限公司,79254702,"77,806.8823","174,113.2066","251,920.089",高雄市,鋼鐵製造業,812台灣高雄市小港區光陽街7號,22.5593181,120.3655639
113,E5600369,東和鋼鐵企業股份有限公司高雄廠,75280209,"18,621.7706","10,544.0579","29,165.829",高雄市,鋼鐵製造業,812台灣高雄市小港區嘉興街8號,22.5619942,120.3634959
113,E5600501,海光企業股份有限公司,75470524,"28,237.8123","89,629.334","117,867.146",高雄市,鋼鐵製造業,812台灣高雄市小港區沿海二路12號,22.550625,120.365646
113,E5600565,盛餘股份有限公司,79837539,"33,145.0799","49,308.638","82,453.718",高雄市,金屬加工處理業,812台灣高雄市小港區中林路11號,22.5370549,120.367025
113,E5600798,龍慶鋼鐵企業股份有限公司,85793919,"16,093.938","22,809.6384","38,903.576",高雄市,鋼鐵製造業,812台灣高雄市小港區利昌街4號,22.5540037,120.3649057
113,E5600841,中國鋼鐵股份有限公司,30414175,"17,535,246.9615","1,074,273.6057","18,609,520.567",高雄市,鋼鐵製造業,824台灣高雄市燕巢區中興路500號,22.7817815,120.3595665
113,E5600850,中國石油化學工業開發股份有限公司小港廠,3084741,"515,873.6917","114,996.6971","630,870.389",高雄市,化學原材料製造業,812台灣高雄市小港區中林路34號,22.5360641,120.3642442
113,E5600869,台灣糖業股份有限公司小港廠,3794905,"60,884.6552","2,520.9523","63,405.608",高雄市,其他食品製造業,812台灣高雄市小港區小港路133號,22.5621832,120.3390414
113,E5600896,台灣電力股份有限公司大林發電廠,3795904,"10,702,748.7067","2,435.2224","10,705,183.929",高雄市,電力供應業,812台灣高雄市小港區大林路3號,22.5308911,120.3366197
113,E5600930,台灣國際造船股份有限公司,4695235,"5,265.0711","16,415.568","21,680.639",高雄市,船舶及其零件製造業,812台灣高雄市小港區中鋼路3號,22.552346,120.3456189
113,E5601080,漢泰鋼鐵廠股份有限公司,75688109,"32,204.1078","13,861.5612","46,065.669",高雄市,其他基本金屬製造業,812台灣高雄市小港區世全路4號,22.5474714,120.3705687
113,E5601197,唐榮鐵工廠股份有限公司,75460005,"36,080.5163","59,364.1677","95,444.684",高雄市,鋼鐵製造業,812台灣高雄市小港區沿海二路4號,22.5451216,120.3703228
113,E5601437,中鋼碳素化學股份有限公司,23221384,"23,297.5095","56,755.8016","80,053.311",高雄市,化學原材料製造業,806台灣高雄市前鎮區成功二路88號,22.6050386,120.3019161
113,E5601697,中聯資源股份有限公司,86119908,"7,464.5286","18,973.7664","26,438.295",高雄市,其他非金屬礦物製品製造業,"802台灣高雄市前鎮區成功二路88號, 22",22.6048754,120.3017271
113,E5602934,中聯資源股份有限公司臨海廠,86119908,"15,934.7782","18,685.6488","34,620.427",高雄市,其他非金屬礦物製品製造業,812台灣高雄市小港區沿海三路友成巷,22.5336326,120.3756369
113,E5602952,海光企業股份有限公司嘉興鋼鐵廠,75470524,"28,664.4915","29,171.6185","57,836.11",高雄市,鋼鐵製造業,812台灣高雄市小港區嘉興街5號,22.5606958,120.3614081
113,E5603655,李長榮科技股份有限公司銅箔廠,97173920,156.4965,"51,851.7588","52,008.255",高雄市,金屬加工處理業,812台灣高雄市小港區中林路3之1號,22.5387067,120.3692556
113,E56A2617,尚承鋼鐵股份有限公司,27208480,"54,323.5292","51,940.7732","106,264.302",高雄市,鋼鐵製造業,812台灣高雄市小港區大業南路7號,22.5211979,120.3606376
113,E56A4792,中國鋼鐵股份有限公司第三冷軋廠,30414175,"50,852.7829","102,556.6012","153,409.384",高雄市,鋼鐵製造業,812台灣高雄市小港區茂大街5號,22.5549226,120.3626755
113,E56A7340,東和鋼鐵企業股份有限公司大業廠,75280209,"19,359.5771","12,021.0192","31,380.596",高雄市,鋼鐵製造業,812台灣高雄市小港區大業南路54號,22.5346298,120.3696159
113,E56B1498,環球橡膠股份有限公司小港廠,29058640,"6,502.321","89,328.5192","95,830.84",高雄市,塑膠及合成橡膠原料製造業,812台灣高雄市小港區中林路16號,22.5386186,120.368405
113,E56B6240,台灣三元能源科技股份有限公司高雄廠,90838471,"3,124.7714","28,438.1381","31,562.91",高雄市,電池製造業,812台灣高雄市小港區長春街16號,22.5632338,120.3444233
113,F0401403,德州儀器工業股份有限公司,33405832,156.2767,"40,694.2272","40,850.504",新北市,半導體製造業,235台灣新北市中和區興南路一段142號,24.9879947,121.5091465
113,F0500803,台灣通用器材股份有限公司,38119936,"2,882.4803","43,956.864","46,839.344",新北市,半導體製造業,23145台灣新北市新店區寶橋路233號,24.9789555,121.5513284
113,F0701702,南亞塑膠工業股份有限公司樹林廠,75370905,"54,298.533","38,769.6346","93,068.168",新北市,塑膠及合成橡膠原料製造業,238台灣新北市樹林區味王街55號,24.9734285,121.4044056
113,F07B5260,南亞電路板股份有限公司樹林一廠,16096804,"1,355.4334","72,638.8329","73,994.266",新北市,印刷電路板製造業,238台灣新北市樹林區味王街55號,24.9734285,121.4044056
113,F0801707,三洋窯業股份有限公司,34263157,"26,630.4944","8,757.0552","35,387.55",新北市,其他非金屬礦物製品製造業,23943台灣新北市鶯歌區八德路16號,24.9555063,121.3310637
113,F1304789,燿華電子股份有限公司土城二廠,5637971,"1,212.1169","41,744.4216","42,956.539",新北市,印刷電路板製造業,23680台灣新北市土城區中山路4巷3號,24.9596835,121.4134175
113,F1600491,南亞塑膠工業股份有限公司林口二廠,75370905,"21,107.8597","55,036.3097","76,144.169",新北市,塑膠製品製造業,243台灣新北市泰山區南林路102號,25.0447206,121.4069325
113,F1606662,南亞科技股份有限公司三廠,89390656,"37,972.9216","370,074.8453","408,047.767",新北市,半導體製造業,243台灣新北市泰山區南林路98號,25.0482461,121.4149629
113,F1700736,台灣電力股份有限公司林口發電廠,3795904,"15,671,965.7232","1,887.6576","15,673,853.381",新北市,電力供應業,244台灣新北市林口區106縣道139-1號,25.1194311,121.2986118
113,F2800075,台灣電力股份有限公司第二核能發電廠,3795904,"8,567.621","6,025.9724","14,593.593",新北市,電力供應業,207台灣新北市萬里區八斗60號,25.2063645,121.659595
113,G3200527,東南實業股份有限公司蘇澳總廠,11384405,"50,287.1562","6,631.6202","56,918.776",宜蘭縣,化學原材料製造業,270台灣宜蘭縣蘇澳鎮新城一路120號,24.6166221,121.819758
113,G3200778,台灣水泥股份有限公司蘇澳廠,11913502,"808,553.9746","51,334.1785","859,888.153",宜蘭縣,水泥及其製品製造業,270台灣宜蘭縣蘇澳鎮永昌路46號,24.5882824,121.8527153
113,G3200849,信大水泥股份有限公司南聖湖廠,3279507,"433,199.4523","32,821.9366","466,021.389",宜蘭縣,水泥及其製品製造業,270台灣宜蘭縣蘇澳鎮中山路二段235號,24.6097827,121.8261511
113,G32A0540,羅東鋼鐵廠股份有限公司煉鋼廠,42010509,"71,473.1271","97,634.4837","169,107.611",宜蘭縣,鋼鐵製造業,270台灣宜蘭縣蘇澳鎮德興一路57號,24.623783,121.8202667
113,G32A0609,燿華電子股份有限公司宜蘭廠,5637971,"3,046.2938","48,212.7962","51,259.09",宜蘭縣,印刷電路板製造業,27049台灣宜蘭縣蘇澳鎮頂平路36號,24.6398688,121.8362716
113,G3700791,臺灣化學纖維股份有限公司龍德廠,58650902,"1,044,325.6371","20,767.836","1,065,093.473",宜蘭縣,化學原材料製造業,269台灣宜蘭縣冬山鄉龍祥十路2號,24.624946,121.814179
113,G3700880,台灣塑膠工業股份有限公司冬山廠,75708007,"115,563.1468","11,551.7592","127,114.906",宜蘭縣,其他非金屬礦物製品製造業,269台灣宜蘭縣冬山鄉東福路201號,24.6217177,121.8086409
113,G3700979,臺灣湯淺電池股份有限公司,35878589,"1,649.0667","21,050.5339","22,699.601",宜蘭縣,電池製造業,269台灣宜蘭縣冬山鄉龍祥八路2號,24.6341968,121.8173526
113,G37A0585,潤泰精密材料股份有限公司宜蘭冬山廠,86871981,"589,798.7967","47,245.6656","637,044.462",宜蘭縣,水泥及其製品製造業,269台灣宜蘭縣冬山鄉大安路357號,24.628994,121.7838112
113,G38A0540,台灣半導體股份有限公司利澤廠,34286449,"7,036.2075","10,011.4488","17,047.656",宜蘭縣,半導體製造業,268台灣宜蘭縣五結鄉利工一路二段31號,24.6485026,121.8363207
113,G4100017,幸福水泥股份有限公司東澳廠,40601248,"548,647.9765","35,697.888","584,345.865",宜蘭縣,水泥及其製品製造業,272台灣宜蘭縣南澳鄉蘇花路三段101號,24.516755,121.829478
113,H4202215,新隆纖維染整股份有限公司桃園廠,7472834,"31,682.3194","6,229.8768","37,912.196",桃園市,染整業,330台灣桃園市桃園區春日路1733巷7號,25.027768,121.303838
113,H4202813,東隆興業股份有限公司桃園廠,18770509,"6,894.1934","9,326.3292","16,220.523",桃園市,染整業,330台灣桃園市桃園區富國路859號,25.0243421,121.2781791
113,H4204264,翔新企業股份有限公司,84570243,"15,908.9456","3,393.9348","19,302.88",桃園市,染整業,330台灣台灣省桃園區興邦路43巷1號,24.9798519,121.3275455
113,H42A3066,臺群工業股份有限公司,25049986,"21,308.8826","4,671.9336","25,980.816",桃園市,染整業,330台灣桃園市桃園區富國路950號,25.0259205,121.2782294
113,H4301008,名佳利金屬工業股份有限公司,45018531,"3,536.9551","17,306.5696","20,843.525",桃園市,銅製造業,320台灣桃園市中壢區北園路11號,24.9754141,121.2419056
113,H4301348,東培工業股份有限公司中壢廠,7220508,"1,484.6026","22,981.6919","24,466.295",桃園市,其他金屬製品製造業,320台灣桃園市中壢區松江北路7號,24.9880122,121.248519
113,H4301839,大鐘印染股份有限公司中壢廠,57002416,"16,629.0596","6,222.672","22,851.732",桃園市,染整業,320台灣桃園市中壢區新生路三段741號,25.00012,121.21535
113,H4302318,六和機械股份有限公司,44528635,"7,605.1044","28,237.5765","35,842.681",桃園市,汽車零件製造業,320台灣桃園市中壢區新生路二段334號,24.9829805,121.2228651
113,H4302523,金車股份有限公司中壢廠,5007903,"16,809.1755","14,696.1489","31,505.324",桃園市,其他食品製造業,320台灣桃園市中壢區榮民南路412號,24.9481691,121.2544665
